minute,location_x,location_y,xg,home_ppda,away_ppda,home_fouls_committed,away_fouls_committed,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,total_match_fouls,total_match_cards,avg_match_ppda,pressing_intensity_score,Atmosphere_Tension_Index,NEW_OPPONENT_PPDA,NEW_IS_HIGH_TENSION,NEW_IS_LATE_GAME,NEW_TENSION_X_PPDA,NEW_FOULS_PER_PPDA,NEW_TOTAL_CARDS,is_goal,body_part_Left Foot,body_part_Right Foot,situation_From Corner,situation_Open Play,situation_Rare,situation_Set Piece
42,0.89,0.4229999923706055,0.0130083784461021,8.928571428571429,16.22222222222222,16.0,15.0,3.0,3.0,0.0,0.0,31.0,18.0,12.575396825396826,12.424603174603174,73.84920634920636,16.22222222222222,1,0,928.6830750818848,2.2835428237357496,6.0,0,0,0,0,0,0,1
54,0.885,0.5,0.7611688375473022,8.928571428571429,16.22222222222222,16.0,15.0,3.0,3.0,0.0,0.0,31.0,18.0,12.575396825396826,12.424603174603174,73.84920634920636,16.22222222222222,1,0,928.6830750818848,2.2835428237357496,6.0,1,1,0,0,0,1,0
64,0.8969999694824219,0.4020000076293945,0.1413981318473816,8.928571428571429,16.22222222222222,16.0,15.0,3.0,3.0,0.0,0.0,31.0,18.0,12.575396825396826,12.424603174603174,73.84920634920636,16.22222222222222,1,0,928.6830750818848,2.2835428237357496,6.0,0,1,0,0,1,0,0
57,0.7390000152587891,0.765,0.0140686137601733,8.928571428571429,16.22222222222222,16.0,15.0,3.0,3.0,0.0,0.0,31.0,18.0,12.575396825396826,12.424603174603174,73.84920634920636,8.928571428571429,1,0,928.6830750818848,2.2835428237357496,6.0,0,0,1,0,1,0,0
95,0.7969999694824219,0.57,0.0384686477482318,8.928571428571429,16.22222222222222,16.0,15.0,3.0,3.0,0.0,0.0,31.0,18.0,12.575396825396826,12.424603174603174,73.84920634920636,8.928571428571429,1,1,928.6830750818848,2.2835428237357496,6.0,0,0,1,0,1,0,0
42,0.965999984741211,0.385,0.0419377200305461,8.928571428571429,16.22222222222222,16.0,15.0,3.0,3.0,0.0,0.0,31.0,18.0,12.575396825396826,12.424603174603174,73.84920634920636,8.928571428571429,1,0,928.6830750818848,2.2835428237357496,6.0,0,0,0,0,1,0,0
47,0.960999984741211,0.644000015258789,0.0918510630726814,8.928571428571429,16.22222222222222,16.0,15.0,3.0,3.0,0.0,0.0,31.0,18.0,12.575396825396826,12.424603174603174,73.84920634920636,8.928571428571429,1,0,928.6830750818848,2.2835428237357496,6.0,0,1,0,0,1,0,0
1,0.93,0.644000015258789,0.0947110280394554,8.928571428571429,16.22222222222222,16.0,15.0,3.0,3.0,0.0,0.0,31.0,18.0,12.575396825396826,12.424603174603174,73.84920634920636,8.928571428571429,1,0,928.6830750818848,2.2835428237357496,6.0,0,1,0,0,1,0,0
47,0.975999984741211,0.575,0.1502836644649505,8.928571428571429,16.22222222222222,16.0,15.0,3.0,3.0,0.0,0.0,31.0,18.0,12.575396825396826,12.424603174603174,73.84920634920636,8.928571428571429,1,0,928.6830750818848,2.2835428237357496,6.0,0,0,1,0,1,0,0
96,0.9490000152587892,0.5790000152587891,0.4853662252426147,8.928571428571429,16.22222222222222,16.0,15.0,3.0,3.0,0.0,0.0,31.0,18.0,12.575396825396826,12.424603174603174,73.84920634920636,8.928571428571429,1,1,928.6830750818848,2.2835428237357496,6.0,1,1,0,1,0,0,0
