player,team,Total_Shots,Actual_Goals,Classic_xG,Contextual_xG,Overperformance_cxG,xG_Difference
Eddie Nketiah,Crystal Palace,15,2,1.94,1.64,0.36,-0.31
Idrissa Gueye,Everton,29,2,1.91,2.02,-0.02,0.1
Rio Ngumoha,Liverpool,11,2,1.05,1.24,0.76,0.19
Alexis Mac Allister,Liverpool,47,2,3.61,3.1,-1.1,-0.51
Hee-Chan Hwang,Wolverhampton Wanderers,17,2,2.54,2.24,-0.24,-0.31
Amad Diallo Traore,Manchester United,50,2,5.5,4.04,-2.04,-1.46
Habib Diarra,Sunderland,24,2,3.11,2.72,-0.72,-0.39
Gabriel Jesus,Arsenal,15,2,2.72,2.18,-0.18,-0.53
Ryan Christie,Bournemouth,25,2,1.79,1.74,0.26,-0.06
Eliezer Mayenda,Sunderland,13,2,2.01,1.7,0.3,-0.31
Federico Chiesa,Liverpool,15,2,1.58,1.42,0.58,-0.16
Rúben Dias,Manchester City,10,2,0.44,0.6,1.4,0.16
Estêvão,Chelsea,28,2,3.87,2.91,-0.91,-0.96
Amadou Onana,Aston Villa,19,2,2.77,1.94,0.06,-0.84
Reece James,Chelsea,21,2,1.21,1.42,0.58,0.21
